Timestamp,Generated Query
2026-06-10 11:41:27,compositionally complex alloy XC-72 supported fuel cell
2026-06-10 11:41:27,Ir based compositionally complex alloy oxygen reduction reaction
2026-06-10 11:41:27,Pt Pd Au Ag Cu half-wave potential electrocatalyst
2026-06-10 11:41:27,high entropy nanoparticle EOR electrocatalyst
2026-06-10 11:41:27,multicomponent alloy alloy catalyst EOR
2026-06-10 11:41:27,PtIrRuRhPd fuel cell accelerated stress test
2026-06-10 11:41:27,PtNiCoFeCu high entropy alloy alkaline oxygen reduction
2026-06-10 11:41:27,PtNiCoFeCu oxygen reduction reaction fuel cell
2026-06-10 11:48:38,Ir based medium entropy alloy MOR
2026-06-10 11:48:38,multi-principal element alloy fuel cell catalyst catalyst
2026-06-10 11:48:38,PtIrRuRhPd fuel cell electrochemically active surface area
2026-06-10 11:48:38,Ir Sn high entropy intermetallic EOR
2026-06-10 11:48:38,multi-principal element alloy acidic oxygen reduction fuel cell
2026-06-10 11:48:38,Pt Pd Ru Rh Ir carbon supported oxygen reduction reaction
2026-06-10 11:48:38,high entropy alloy ORR electrocatalyst
2026-06-10 11:48:38,compositionally complex alloy proton exchange membrane fuel cell durability
2026-06-10 12:18:14,Pt Fe Co Ni Mn ethanol oxidation reaction fuel cell
2026-06-10 12:18:14,high entropy nanomaterial ORR electrocatalyst
2026-06-10 12:18:14,multi-principal element alloy PEMFC MEA performance
2026-06-10 12:18:14,multicomponent alloy ORR ECSA
2026-06-10 12:18:14,high-entropy nanoparticle proton exchange membrane fuel cell half wave potential
2026-06-10 12:18:14,high entropy intermetallic ORR ECSA
2026-06-10 12:18:14,Ir high entropy electrocatalyst mass activity
2026-06-10 12:18:14,high entropy nanoparticle fuel cell electrochemically active surface area
2026-06-10 12:54:26,high entropy alloy MEA
2026-06-10 12:54:26,medium-entropy alloy nanocrystal fuel cell
2026-06-10 12:54:26,IrRuRhPtPd ORR ADT
2026-06-10 12:54:26,PtPdCoNiCu ORR electrochemically active surface area
2026-06-10 12:54:26,high entropy alloy alloy catalyst fuel cell
2026-06-10 12:54:26,Ir W high entropy electrocatalyst MOR
2026-06-10 12:54:26,high-entropy nanoparticle nanoparticle ethanol oxidation reaction
2026-06-10 12:54:26,multimetallic alloy fuel cell half wave potential
2026-06-10 15:19:59,Pt Ir Ru Rh Pd ORR stability fuel cell
2026-06-10 15:19:59,Pt Ru Fe Co Ni fuel cell accelerated durability test
2026-06-10 15:19:59,Pt Co Ni Cu Fe carbon supported oxygen reduction reaction fuel cell
2026-06-10 15:19:59,multi-principal element alloy EOR electrocatalyst fuel cell
2026-06-10 15:19:59,Rh Co multi-principal element alloy acidic oxygen reduction fuel cell
2026-06-10 15:19:59,medium entropy alloy platinum based acidic ORR fuel cell
2026-06-10 15:19:59,Pt Ir Ru Rh Pd high entropy alloy ethanol oxidation reaction fuel cell
2026-06-10 15:19:59,multi principal element alloy EOR electrocatalyst fuel cell
2026-06-10 17:06:59,high entropy electrocatalyst EOR catalyst fuel cell
2026-06-10 17:06:59,PdRuRhIrPt carbon supported acidic oxygen reduction fuel cell
2026-06-10 17:06:59,Pd Ru Rh Ir Pt fuel cell stability
2026-06-10 17:06:59,Pt Pd Au Ag Cu high entropy alloy acidic ORR fuel cell
2026-06-10 17:06:59,high entropy alloys nanosheet oxygen reduction reaction fuel cell
