W7118175280,Maximize the Electrocatalytic Activity of Pt Toward Ethanol Oxidation via Engineering PdPt <sub>1</sub> Single‐Atom Alloy Skin
W7115737393,Electrocatalytic advancements with trimetallic nanoparticles: design strategies and roadmap
W7154720924,Emerging Synthesis Strategies of High-Entropy Intermetallic Nanocatalysts
W4324348674,Rational design of septenary high-entropy alloy for direct ethanol fuel cells
W4399376281,High-entropy alloy electrocatalysts go to (sub-)nanoscale
W4413039183,Pt‐Based Electrocatalysts for Oxygen Reduction Reaction: Core–Shell Architectures and High‐Entropy Alloy Nanoparticles
W3114661508,Alloying–realloying enabled high durability for Pt–Pd-3d-transition metal nanoparticle fuel cell catalysts
W4414026140,Ultrafine 1D platinum group metal-based nanostructures with advanced regulations for fuel cells electrocatalysis
W4220857508,Pt-Based Multimetal Electrocatalysts and Potential Applications: Recent Advancements in the Synthesis of Nanoparticles by Modified Polyol Methods
W4360993216,Surfactant-Free Colloidal Syntheses of Precious Metal Nanoparticles for Improved Catalysts
W7156066774,"Platinum-based high-entropy alloys for electrocatalysis: preparation, applications and prospects"
W4408082493,Boosting Alcohol Oxidation Electrocatalysis with Multifactorial Engineered Pd1/Pt Single-Atom Alloy-BiOx Adatoms Surface
W4367842334,Recent progress in intermetallic nanocrystals for electrocatalysis: From binary to ternary to high‐entropy intermetallics
W4387458296,Synthesis of Metal Nanoparticles under Microwave Irradiation: Get Much with Less Energy
W4406398228,High Temperature Shock (HTS) Synthesis of Carbon‐Based Nanomaterials for Electrochemical Applications
W4401263876,Uniting activity design principles of anode catalysts for direct liquid fuel cells
W4412694825,Recent Progress of 2D Pt-Group Metallic Electrocatalysts for Energy-Conversion Applications
W7117484492,Charge Redistribution of Atomic Catalysts in Electrocatalysis
W4391270105,Multiple Metal–Nitrogen Bonds Synergistically Boosting the Activity and Durability of High-Entropy Alloy Electrocatalysts
W4385276424,Experimental study platform for electrocatalysis of atomic-level controlled high-entropy alloy surfaces
W4294146575,Exploring the Composition Space of High-Entropy Alloy Nanoparticles for the Electrocatalytic H <sub>2</sub> /CO Oxidation with Bayesian Optimization
W4406362972,Recent Progress in Materials Design and Fabrication Techniques for Membrane Electrode Assembly in Proton Exchange Membrane Fuel Cells
W4390826371,Ultradurable Pt-Based Catalysts for Oxygen Reduction Electrocatalysis
W4401955570,Research Progress of Pt-Based Catalysts toward Cathodic Oxygen Reduction Reactions for Proton Exchange Membrane Fuel Cells
W3096631593,Fast site-to-site electron transfer of high-entropy alloy nanocatalyst driving redox electrocatalysis
W4392763700,Single-atom Mo-tailored high-entropy-alloy ultrathin nanosheets with intrinsic tensile strain enhance electrocatalysis
W4200590576,Noble-metal-based high-entropy-alloy nanoparticles for electrocatalysis
W4375853508,Synthesis of High‐Entropy‐Alloy Nanoparticles by a Step‐Alloying Strategy as a Superior Multifunctional Electrocatalyst
W2772965605,Metal-organic frameworks derived platinum-cobalt bimetallic nanoparticles in nitrogen-doped hollow porous carbon capsules as a highly active and durable catalyst for oxygen reduction reaction
W3152601855,"High-entropy ceramics: Present status, challenges, and a look forward"
W4296299279,Glassy Carbon Substrate Oxidation Effects on Electrode Stability for Oxygen Evolution Reaction Catalysis Stability Benchmarking
W4407537372,Achieving Higher Activity of Acidic Oxygen Evolution Reaction Using an Atomically Thin Layer of IrO<sub><i>x</i></sub> over Co<sub>3</sub>O<sub>4</sub>
W4313528198,PdO@CoSe<sub>2</sub> composites: efficient electrocatalysts for water oxidation in alkaline media
W4403879129,Octahedral Co<sup>2+</sup>‐O‐Co<sup>3+</sup> in Mixed Cobalt Spinel Promotes Active and Stable Acidic Oxygen Evolution
W4392529732,Decoupled supercapacitive electrolyzer for membrane-free water splitting
W4403699810,Facet Engineering of Cobalt Manganese Oxide for Highly Stable Acidic Oxygen Evolution Reaction
W4384825881,Designing and regulating catalysts for enhanced oxygen evolution in acid electrolytes
W4388186766,C<sub>60</sub> and Derivatives Boost Electrocatalysis and Photocatalysis: Electron Buffers to Heterojunctions
W4385845105,A novel cobalt(<scp>ii</scp>) acetate complex bearing lutidine ligand: a promising electrocatalyst for oxygen evolution reaction
W4387800983,Optimal Coatings of Co<sub>3</sub>O<sub>4</sub> Anodes for Acidic Water Electrooxidation
W4405852435,Stabilizing Polyoxometalate for Enhanced OER Performance Using a Porous Manganese Oxide Support
W4410189140,A Potassium‐Doped Perovskite‐Based Nanocomposite as an Efficient Bifunctional Oxygen Electrocatalyst for Rechargeable Zn‐Air Batteries
W7117104062,Multimetal Doping and Heterostructure Engineering of RuO <sub>2</sub> for Durable and Efficient Oxygen Evolution
W2910462177,Decoupling the roles of carbon and metal oxides on the electrocatalytic reduction of oxygen on La<sub>1−x</sub>Sr<sub>x</sub>CoO<sub>3−δ</sub> perovskite composite electrodes
W4323527213,A general but still unknown characteristic of active oxygen evolution electrocatalysts
